id,name,attribution,description,count_rows,viewCount,downloadCount,category,tags,createdAt,updatedAt,dataUpdatedAt,metadataUpdatedAt,domain,attributionLink,webUri,dataUri
hags-jh3e,2016-17 - 2020-21 District End-of-Year Attendance and Chronic Absenteeism Data,New York City Department of Education,"Overall attendance data include students in Districts 1-32 and 75 (Special Education). Students in District 79 (Alternative Schools & Programs), charter schools, home schooling, and home and hospital instruction are excluded. Pre-K data do not include NYC Early Education Centers or District Pre-K Centers; therefore, Pre-K data are limited to those who attend K-12 schools that offer Pre-K. Transfer schools are included in citywide, borough, and district counts but removed from school-level files.
Attendance is attributed to the school the student attended at the time. If a student attends multiple schools in a school year, the student will contribute data towards multiple schools.
Starting in 2020-21, the NYC DOE transitioned to NYSED's definition of chronic absenteeism. Students are considered chronically absent if they have an attendance of 90 percent or less (i.e. students who are absent 10 percent or more of the total days). In order to be included in chronic absenteeism calculations, students must be enrolled for at least 10 days (regardless of whether present or absent) and must have been present for at least 1 day. The NYSED chronic absenteeism definition is applied to all prior years in the report.
School-level chronic absenteeism data reflect chronic absenteeism at a particular school. In order to eliminate double-counting students in chronic absenteeism counts, calculations at the district, borough, and citywide levels include all attendance data that contribute to the given geographic category. For example, if a student was chronically absent at one school but not at another, the student would only be counted once in the citywide calculation. For this reason, chronic absenteeism counts will not align across files.
All demographic data are based on a student's most recent record in a given year.
Students With Disabilities (SWD) data do not include Pre-K students since Pre-K students are screened for IEPs only at the parents' request.
English language learner (ELL) data do not include Pre-K students since the New York State Education Department only begins administering assessments to be identified as an ELL in Kindergarten.
Only grades PK-12 are shown, but calculations for ""All Grades"" also include students missing a grade level, so PK-12 may not add up to ""All Grades"". 
Data include students missing a gender, but are not shown due to small cell counts.
Data for Asian students include Native Hawaiian or Other Pacific Islanders . Multi-racial and Native American students, as well as students missing ethnicity/race data are included in the ""Other"" ethnicity category.
In order to comply with the Family Educational Rights and Privacy Act (FERPA) regulations on public reporting of education outcomes, rows with five or fewer students are suppressed, and have been replaced with an ""s"". Using total days of attendance as a proxy , rows with 900 or fewer total days are suppressed. In addition, other rows have been replaced with an ""s"" when they could reveal, through addition or subtraction, the underlying numbers that have been redacted. Chronic absenteeism values are suppressed, regardless of total days, if the number of students who contribute  at least 20 days is five or fewer. 
Due to the COVID-19 pandemic and resulting shift to remote learning in March 2020, 2019-20 attendance data was only available for September 2019 through March 13, 2020. Interactions data from the spring of 2020 are reported on a separate tab.
Interactions were reported by schools during remote learning, from April 6 2020 through June 26 2020 (a total of 57 instructional days, excluding special professional development days of June 4 and June 9). Schools were required to indicate any student from their roster that did not have an interaction on a given day. Schools were able to define interactions in a way that made sense for their students and families. Definitions of an interaction included:
• Student submission of an assignment or completion of an assessment, in whichever manner the school is collecting
• Student participation in an online forum, chat log, or discussion thread
• Student/family phone call, email or response to teacher email
• Phone, email, and/or other digital communication with a family member which confirms student interaction/engagement
• Other evidence of participation as determined by the principal.
Interactions data are attributed to students' school of record on a given day. A student participating in a Shared Instruction (SHIN) model may have recorded interactions at multiple schools on a given day, but only one record is counted for the interaction rate, attributed to students' school of record for that day.
Due to the shift to hybrid learning, attendance data for the 2020-21 school year include both in-person and remote instruction. Total days, days absent, and days present fields include both in-person and remote attendance.
More information on attendance policies can be found here: https://www.schools.nyc.gov/school-life/rules-for-students/attendance ",2475,1317,414,Education,,2022-04-05T16:32:22+0000,2022-05-11T21:41:41+0000,2022-04-05T16:35:08+0000,2022-05-11T21:41:41+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/hags-jh3e,https://data.cityofnewyork.us/resource/hags-jh3e
sgsi-66kk,2016-17 - 2020-23 Citywide End-of-Year Attendance and Chronic Absenteeism Data,New York City Department of Education,"Overall attendance data include students in Districts 1-32 and 75 (Special Education). Students in District 79 (Alternative Schools & Programs), charter schools, home schooling, and home and hospital instruction are excluded. Pre-K data do not include NYC Early Education Centers or District Pre-K Centers; therefore, Pre-K data are limited to those who attend K-12 schools that offer Pre-K. Transfer schools are included in citywide, borough, and district counts but removed from school-level files.
Attendance is attributed to the school the student attended at the time. If a student attends multiple schools in a school year, the student will contribute data towards multiple schools.
Starting in 2020-21, the NYC DOE transitioned to NYSED's definition of chronic absenteeism. Students are considered chronically absent if they have an attendance of 90 percent or less (i.e. students who are absent 10 percent or more of the total days). In order to be included in chronic absenteeism calculations, students must be enrolled for at least 10 days (regardless of whether present or absent) and must have been present for at least 1 day. The NYSED chronic absenteeism definition is applied to all prior years in the report.
School-level chronic absenteeism data reflect chronic absenteeism at a particular school. In order to eliminate double-counting students in chronic absenteeism counts, calculations at the district, borough, and citywide levels include all attendance data that contribute to the given geographic category. For example, if a student was chronically absent at one school but not at another, the student would only be counted once in the citywide calculation. For this reason, chronic absenteeism counts will not align across files.
All demographic data are based on a student's most recent record in a given year.
Students With Disabilities (SWD) data do not include Pre-K students since Pre-K students are screened for IEPs only at the parents' request.
English language learner (ELL) data do not include Pre-K students since the New York State Education Department only begins administering assessments to be identified as an ELL in Kindergarten.
Only grades PK-12 are shown, but calculations for ""All Grades"" also include students missing a grade level, so PK-12 may not add up to ""All Grades"". 
Data include students missing a gender, but are not shown due to small cell counts.
Data for Asian students include Native Hawaiian or Other Pacific Islanders . Multi-racial and Native American students, as well as students missing ethnicity/race data are included in the ""Other"" ethnicity category.
In order to comply with the Family Educational Rights and Privacy Act (FERPA) regulations on public reporting of education outcomes, rows with five or fewer students are suppressed, and have been replaced with an ""s"". Using total days of attendance as a proxy , rows with 900 or fewer total days are suppressed. In addition, other rows have been replaced with an ""s"" when they could reveal, through addition or subtraction, the underlying numbers that have been redacted. Chronic absenteeism values are suppressed, regardless of total days, if the number of students who contribute  at least 20 days is five or fewer. 
Due to the COVID-19 pandemic and resulting shift to remote learning in March 2020, 2019-20 attendance data was only available for September 2019 through March 13, 2020. Interactions data from the spring of 2020 are reported on a separate tab.
Interactions were reported by schools during remote learning, from April 6 2020 through June 26 2020 (a total of 57 instructional days, excluding special professional development days of June 4 and June 9). Schools were required to indicate any student from their roster that did not have an interaction on a given day. Schools were able to define interactions in a way that made sense for their students and families. Definitions of an interaction included:
• Student submission of an assignment or completion of an assessment, in whichever manner the school is collecting
• Student participation in an online forum, chat log, or discussion thread
• Student/family phone call, email or response to teacher email
• Phone, email, and/or other digital communication with a family member which confirms student interaction/engagement
• Other evidence of participation as determined by the principal.
Interactions data are attributed to students' school of record on a given day. A student participating in a Shared Instruction (SHIN) model may have recorded interactions at multiple schools on a given day, but only one record is counted for the interaction rate, attributed to students' school of record for that day.
Due to the shift to hybrid learning, attendance data for the 2020-21 school year include both in-person and remote instruction. Total days, days absent, and days present fields include both in-person and remote attendance.
More information on attendance policies can be found here: https://www.schools.nyc.gov/school-life/rules-for-students/attendance ",53607,2893,657,Education,,2022-04-05T16:27:36+0000,2024-02-01T18:15:30+0000,2024-02-01T18:14:13+0000,2024-02-01T18:15:30+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/sgsi-66kk,https://data.cityofnewyork.us/resource/sgsi-66kk
peyw-qepe,2016-17 - 2020-21 End-of-Year Borough Attendance and Chronic Absenteeism Data,New York City Department of Education,"Overall attendance data include students in Districts 1-32 and 75 (Special Education). Students in District 79 (Alternative Schools & Programs), charter schools, home schooling, and home and hospital instruction are excluded. Pre-K data do not include NYC Early Education Centers or District Pre-K Centers; therefore, Pre-K data are limited to those who attend K-12 schools that offer Pre-K. Transfer schools are included in citywide, borough, and district counts but removed from school-level files.
Attendance is attributed to the school the student attended at the time. If a student attends multiple schools in a school year, the student will contribute data towards multiple schools.
Starting in 2020-21, the NYC DOE transitioned to NYSED's definition of chronic absenteeism. Students are considered chronically absent if they have an attendance of 90 percent or less (i.e. students who are absent 10 percent or more of the total days). In order to be included in chronic absenteeism calculations, students must be enrolled for at least 10 days (regardless of whether present or absent) and must have been present for at least 1 day. The NYSED chronic absenteeism definition is applied to all prior years in the report.
School-level chronic absenteeism data reflect chronic absenteeism at a particular school. In order to eliminate double-counting students in chronic absenteeism counts, calculations at the district, borough, and citywide levels include all attendance data that contribute to the given geographic category. For example, if a student was chronically absent at one school but not at another, the student would only be counted once in the citywide calculation. For this reason, chronic absenteeism counts will not align across files.
All demographic data are based on a student's most recent record in a given year.
Students With Disabilities (SWD) data do not include Pre-K students since Pre-K students are screened for IEPs only at the parents' request.
English language learner (ELL) data do not include Pre-K students since the New York State Education Department only begins administering assessments to be identified as an ELL in Kindergarten.
Only grades PK-12 are shown, but calculations for ""All Grades"" also include students missing a grade level, so PK-12 may not add up to ""All Grades"". 
Data include students missing a gender, but are not shown due to small cell counts.
Data for Asian students include Native Hawaiian or Other Pacific Islanders . Multi-racial and Native American students, as well as students missing ethnicity/race data are included in the ""Other"" ethnicity category.
In order to comply with the Family Educational Rights and Privacy Act (FERPA) regulations on public reporting of education outcomes, rows with five or fewer students are suppressed, and have been replaced with an ""s"". Using total days of attendance as a proxy , rows with 900 or fewer total days are suppressed. In addition, other rows have been replaced with an ""s"" when they could reveal, through addition or subtraction, the underlying numbers that have been redacted. Chronic absenteeism values are suppressed, regardless of total days, if the number of students who contribute  at least 20 days is five or fewer. 
Due to the COVID-19 pandemic and resulting shift to remote learning in March 2020, 2019-20 attendance data was only available for September 2019 through March 13, 2020. Interactions data from the spring of 2020 are reported on a separate tab.
Interactions were reported by schools during remote learning, from April 6 2020 through June 26 2020 (a total of 57 instructional days, excluding special professional development days of June 4 and June 9). Schools were required to indicate any student from their roster that did not have an interaction on a given day. Schools were able to define interactions in a way that made sense for their students and families. Definitions of an interaction included:
• Student submission of an assignment or completion of an assessment, in whichever manner the school is collecting
• Student participation in an online forum, chat log, or discussion thread
• Student/family phone call, email or response to teacher email
• Phone, email, and/or other digital communication with a family member which confirms student interaction/engagement
• Other evidence of participation as determined by the principal.
Interactions data are attributed to students' school of record on a given day. A student participating in a Shared Instruction (SHIN) model may have recorded interactions at multiple schools on a given day, but only one record is counted for the interaction rate, attributed to students' school of record for that day.
Due to the shift to hybrid learning, attendance data for the 2020-21 school year include both in-person and remote instruction. Total days, days absent, and days present fields include both in-person and remote attendance.
More information on attendance policies can be found here: https://www.schools.nyc.gov/school-life/rules-for-students/attendance ",375,856,283,Education,,2022-04-05T16:22:11+0000,2022-05-10T16:25:18+0000,2022-04-05T16:25:10+0000,2022-05-10T16:25:18+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/peyw-qepe,https://data.cityofnewyork.us/resource/peyw-qepe
ihu4-ncc7,2017-2018 Local Law 15 Health Instructor - Professional,NYC Department of Education,"Local Law 15 (2016) requires that the NYCDOE provide citywide Health Education Instructor data, disaggregated by community school district, city council district, and each individual school Data reported in this report is from the 2017-18 school year.                                                                              Counts of the total number of unique instructors attending professional development is from 2016 to 2018 (2 years). In order to calculate the percentage of instructors attending multiple sessions of professional development, the NYCDOE used the 2017-18 number of instructors as the denominator to reflect that instructors could have attended professional development in years prior.",13,144,133,Education,,2022-04-05T13:46:57+0000,2024-02-09T14:08:52+0000,2022-04-05T14:32:32+0000,2024-02-09T14:08:52+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/ihu4-ncc7,https://data.cityofnewyork.us/resource/ihu4-ncc7
hphr-4k9z,Student Covid Vaccinations (3/18/22),NYC Department of Education,"1) Register is as of reporting date
2) Only includes schools and programs in Districts 1-32 and District 75
3) NYCEECs and District PreK Centers are excluded
4) District 75 Home and Hospital Instruction programs and students are excluded
5) Percents are of active students ages 5 and up, not of all students (any four year olds are exluded as they are not yet eligible for vaccination)
1) Enrollment as of last day of reporting period
2) Only schools and programs in Districts 1-32 and District 75
3) NYCEECs and District PreK Centers are excluded
4) District 75 Home and Hospital Instruction programs and students are excluded
5) For consent and consent withdrawal, only Covid-19 testing eligible students are included (Grades 1-12)
6) For unvaccinated population, only students aged 5 or above as of the day before the beginning of the reporting period are included
""7) Under the Family Educational Rights and Privacy Act (FERPA), educational agencies and institutions
reporting or releasing data derived from education records are responsible for protecting personally
identifiable information (PII) in their reports from disclosure. 
a) If a cell is ≤ 5 the value is suppressed (""""S""""), and the next highest value in that row is also suppressed (""""S""""). 
b) If a cell is within 5 of the total number of students for the subgroup, the value is suppressed (""""T""""), and the next highest value in that row is also suppressed (""""T""""). This is necessary, because it is a FERPA violation to disclose that no students in a subgroup were vaccinated. This report includes counts of unvaccinated students, therefore data suppression is necessary on the maximum values also.""
8) An empty cell indicates that there are no students for that grade or subgroup",1584,573,229,Education,,2022-04-04T20:40:56+0000,2022-05-09T22:25:21+0000,2022-04-04T20:43:11+0000,2022-05-09T22:25:21+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/hphr-4k9z,https://data.cityofnewyork.us/resource/hphr-4k9z
635b-dk9f,Student Covid Vaccinations (4/1/22),NYC Department of Education,"1) Enrollment as of last day of reporting period
2) Only schools and programs in Districts 1-32 and District 75
3) NYCEECs and District PreK Centers are excluded
4) District 75 Home and Hospital Instruction programs and students are excluded
5) For consent and consent withdrawal, only Covid-19 testing eligible students are included (Grades 1-12)
6) For unvaccinated population, only students aged 5 or above as of the day before the beginning of the reporting period are included
""7) Under the Family Educational Rights and Privacy Act (FERPA), educational agencies and institutions
reporting or releasing data derived from education records are responsible for protecting personally
identifiable information (PII) in their reports from disclosure. 
a) If a cell is ≤ 5 the value is suppressed (""""S""""), and the next highest value in that row is also suppressed (""""S""""). 
b) If a cell is within 5 of the total number of students for the subgroup, the value is suppressed (""""T""""), and the next highest value in that row is also suppressed (""""T""""). This is necessary, because it is a FERPA violation to disclose that no students in a subgroup were vaccinated. This report includes counts of unvaccinated students, therefore data suppression is necessary on the maximum values also.""
8) An empty cell indicates that there are no students for that grade or subgroup",1584,989,252,Education,,2022-04-04T20:35:59+0000,2022-05-09T22:25:21+0000,2022-04-04T20:38:44+0000,2022-05-09T22:25:21+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/635b-dk9f,https://data.cityofnewyork.us/resource/635b-dk9f
c292-vzrn,Office of Labor Policy & Standards Enforcement Matters,Department of Consumer and Worker Protection (DCWP),"The Department of Consumer and Worker Protection's Office of Labor Policy & Standards (OLPS) protects workers and enforces local labor laws that help ensure a fair workplace for all persons working in the City, and to ensure they can realize their rights. 

This dataset provides a list of all worker complaints under the Fair Workwek and Paid Safe and Sick Leave laws that, after preliminary investigation, were taken up by OLPS attorneys as an enforcement matter.",2537,1854,409,Business,"['labor', 'policy', 'workers', 'olps', 'dca', 'dcwp', 'consumer', 'labor policy', 'labor standards', 'fair work week', 'scheduling', 'paid leave', 'sick leave']",2022-04-01T17:56:43+0000,2024-05-16T14:02:47+0000,2024-05-16T14:02:50+0000,2024-05-16T14:02:47+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/c292-vzrn,https://data.cityofnewyork.us/resource/c292-vzrn
bbtf-6p3c,Schoolyard to Playgrounds,,"The Schoolyards to Playgrounds initiative began with PlaNYC 2007 as a way to expand public use at existing City facilities and improve access to open spaces during non-school hours which includes weekends, holidays, and during the summer. 
 
NYC Parks, in collaboration with the Department of Education (DOE) and the nonprofit Trust for Public Land have improved hundreds of DOE operated schoolyards through capital improvements, including play equipment, painted sports surfaces, trees, and benches.
 
The program is an important approach to reaching the city’s target to getting more New Yorkers within walking distance to open-space. In many neighborhoods, these DOE schoolyards are one of the few resources that can be improved and provide publicly accessible open space.
 
Each record in this dataset represents a participating DOE Schoolyard at the time of the dataset's publication. The schoolyard's boundaries have been drawn in whole or part using secondary data. Data accuracy is limited by the scale and accuracy of the original sources. Site-specific conditions should be field-verified. 
 
 For more information on the Schoolyard to Playgrounds program, visit: https://www.nycgovparks.org/greening/planyc/schoolyards
 
This dataset may be updated throughout the year as school's join or exit the program.

Data Dictionary: https://docs.google.com/spreadsheets/d/10yVRhmdIAS1g8c3L0jC4XxSTptdIf5wESL5ks1e6Gto/edit?usp=sharing",285,752,445,,,2022-04-01T14:29:49+0000,2024-08-14T13:24:42+0000,2024-08-14T13:24:43+0000,2024-08-14T13:24:42+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/bbtf-6p3c,https://data.cityofnewyork.us/resource/bbtf-6p3c
mk9u-qu7i,Greenstreets,,"Launched in 1996, the Greenstreets program began as a partnership between the NYC Parks and the New York City Department of Transportation (DOT). The program was created to change unused road areas into green spaces that beautify neighborhoods, improve air quality, reduce air temperatures, and calm traffic. Greenstreets later became a component of the City's ""green infrastructure,"" with some containing bioswales or rain gardens to divert and/or filter stormwater. For more information about the Greenstreets program and green infrastructure, visit https://www.nycgovparks.org/greening/green-infrastructure.
 
 This dataset uses the standard NYC projection of NAD_1983_StatePlane_New_York_Long_Island_FIPS_3104_Feet. Lengths are in feet and areas in square feet.

Data Dictionary: https://docs.google.com/spreadsheets/d/1HiHluhaqGWPC4QPy9q5iXkXJCGZrm3nAggJzVeKuP0E/edit?usp=sharing",2753,1247,528,,,2022-03-31T22:05:41+0000,2024-08-14T13:49:57+0000,2024-08-14T13:50:01+0000,2024-08-14T13:49:57+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/mk9u-qu7i,https://data.cityofnewyork.us/resource/mk9u-qu7i
uwmn-v7un,Golf Courses,,"This dataset consists of golf courses under the jurisdiction of NYC Parks. For more information about golf in NYC Parks visit https://www.nycgovparks.org/facilities/golf
 
This dataset uses the standard NYC projection of NAD_1983_StatePlane_New_York_Long_Island_FIPS_3104_Feet. Lengths are in feet and areas in square feet.

Data Dictionary: https://docs.google.com/spreadsheets/d/1wSAFUYqCyDHxgU0qCgxeVDWRQeG_YwNF7sOBoG78FEY/edit?usp=sharing",19,512,440,,,2022-03-31T21:55:29+0000,2024-08-14T13:49:34+0000,2024-08-14T13:49:35+0000,2024-08-14T13:49:34+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/uwmn-v7un,https://data.cityofnewyork.us/resource/uwmn-v7un
ijwa-mn2v,Beaches,,"Larger beach properties are typically divided into zones, indicated with a ZN-xx designation, for ease of inspection and maintenance. These zones are sometimes further divided into sections for a particular street or beach segment, and it is those smaller sections that are depicted in this dataset.
 
This dataset uses the standard NYC projection of NAD_1983_StatePlane_New_York_Long_Island_FIPS_3104_Feet. Lengths are in feet and areas in square feet.

Data Dictionary: https://docs.google.com/spreadsheets/d/1YwneNR7WwLh5jZiI69LXWuW6yegeVo6HdiTpKTjI0tA/edit?usp=sharing",175,650,353,,,2022-03-31T21:38:39+0000,2024-08-14T13:49:22+0000,2024-08-14T13:49:22+0000,2024-08-14T13:49:22+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/ijwa-mn2v,https://data.cityofnewyork.us/resource/ijwa-mn2v
qnem-b8re,Athletic Facilities,,"This dataset contains facilities that were designed specifically with sports in mind. These facilities are not the only places within parks where sports can be played. This layer contains all of the facilities that can be permitted for athletic activity and facilities that are specifically designated for sports but are not available for permitting. 
 
This information is used by the Citywide Event Management System (CEMS) to book permits for Parks' athletic facilities. More information about athletic facility permits can be viewed at https://www.nycgovparks.org/permits/
 
This dataset uses the standard NYC projection of NAD_1983_StatePlane_New_York_Long_Island_FIPS_3104_Feet. Lengths are in feet and areas in square feet.

Data Dictionary: https://docs.google.com/spreadsheets/d/1iIhwuLBlIus2n1EQ2a329jX4oJciXt9dEaxOFPpHfE8/edit?usp=sharing",6898,1082,889,,,2022-03-31T20:57:37+0000,2024-08-14T13:49:00+0000,2024-08-14T13:49:02+0000,2024-08-14T13:49:00+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/qnem-b8re,https://data.cityofnewyork.us/resource/qnem-b8re
xy2j-nm7j,2017-2018 Local Law Licensed Health Instructor - School,NYC Department of Education,"Local Law 15 enacted in 2016 requires the Department of Education of the New York City School District to submit to the Council information regarding Health Education instructor data. This report inlcudes (i) the total number of licensed health instructors
employed by the department, disaggregated by full-time and part-time instructors; (ii) the total number of instructors assigned to teach at least one health education class.
All information is aggregated citywide, as well as disaggregated by city council district and community school district and, when available, by school.
YABC, D75 home and hospital, D79 and charter schools are excluded from this report.",1590,163,151,Education,,2022-03-24T17:17:48+0000,2024-07-05T13:46:01+0000,2022-03-24T18:16:57+0000,2024-07-05T13:46:01+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/xy2j-nm7j,https://data.cityofnewyork.us/resource/xy2j-nm7j
36j9-c8ka,2017-2018 Local Law 15 Health Instructor - Community School District,NYC Department of Education,"Local Law 15 enacted in 2016 requires the Department of Education of the New York City School District to submit to the Council information regarding Health Education instructor data. This report inlcudes (i) the total number of health instructors
employed by the department, disaggregated by full-time and part-time instructors; (ii) the total number of instructors assigned to teach at least one health education class.
All information is aggregated citywide, as well as disaggregated by community school district and, when available, by school.
YABC, D75 home and hospital, D79 and charter schools are excluded from this report.",33,130,146,Education,,2022-03-24T17:11:01+0000,2024-07-05T13:46:00+0000,2022-03-24T17:15:01+0000,2024-07-05T13:46:00+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/36j9-c8ka,https://data.cityofnewyork.us/resource/36j9-c8ka
shsq-aapc,2017-2018 Local Law 15 Health Instructor - City Council District,NYC Department of Education,"Local Law 15 enacted in 2016 requires the Department of Education of the New York City School District to submit to the Council information regarding Health Education instructor data. This report inlcudes (i) the total number of health instructors
employed by the department, disaggregated by full-time and part-time instructors; (ii) the total number of instructors assigned to teach at least one health education class.
All information is aggregated citywide, as well as disaggregated by city council district and community school district and, when available, by school.
YABC, D75 home and hospital, D79 and charter schools are excluded from this report.",51,134,182,Education,,2022-03-24T17:02:16+0000,2024-02-09T14:08:42+0000,2022-03-24T17:08:14+0000,2024-02-09T14:08:42+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/shsq-aapc,https://data.cityofnewyork.us/resource/shsq-aapc
tfa9-aubf,2021 - 2022 Average Class Size Pilot,New York City Department of Education,Average Class Size Pilot,72,909,184,Education,,2022-03-21T23:44:52+0000,2024-02-09T14:08:34+0000,2022-03-21T23:48:53+0000,2024-02-09T14:08:34+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/tfa9-aubf,https://data.cityofnewyork.us/resource/tfa9-aubf
vmdx-uykr,2021 -2022 Guidance Counselor,New York City Department of Education,Guidance Counselors and Social Workers,1600,3295,234,,,2022-03-21T23:38:36+0000,2024-02-09T14:07:49+0000,2022-03-21T23:43:09+0000,2024-02-09T14:07:49+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/vmdx-uykr,https://data.cityofnewyork.us/resource/vmdx-uykr
dmuj-yrxd,2017-2018 Health Education Report MS (54) -  City Council District,NYC Department of Education,"New York City Department of Education 2017 - 2018 Health Education Report.
Local Law 14 (2016) requires that the NYCDOE provide citywide Health Education data, disaggregated by community school district, city council district, and each individual school. Data reported in this report is from the 2017-18 school year.
This report provides information about the number and percent of students scheduled for at least one semester of health education as defined in Local Law 14 as reported through the STARS database. It is important to note that schools self-report their scheduling information in STARS.",51,166,287,Education,,2022-03-16T20:30:52+0000,2024-02-09T14:08:40+0000,2022-03-16T20:33:33+0000,2024-02-09T14:08:40+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/dmuj-yrxd,https://data.cityofnewyork.us/resource/dmuj-yrxd
gk67-cwwz,2017-2018 Health Education Report MS (54) -  School,NYC Department of Education,"New York City Department of Education 2017 - 2018 Health Education Report.
Local Law 14 (2016) requires that the NYCDOE provide citywide Health Education data, disaggregated by community school district, city council district, and each individual school. Data reported in this report is from the 2017-18 school year.
This report provides information about the number and percent of students scheduled for at least one semester of health education as defined in Local Law 14 as reported through the STARS database. It is important to note that schools self-report their scheduling information in STARS.",542,128,156,Education,,2022-03-16T20:26:48+0000,2024-07-05T13:46:00+0000,2022-03-16T20:29:07+0000,2024-07-05T13:46:00+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/gk67-cwwz,https://data.cityofnewyork.us/resource/gk67-cwwz
gsyv-em48,2017-2018 Health Education Report MS (54) -  District,NYC Department of Education,"New York City Department of Education 2017 - 2018 Health Education Report.
Local Law 14 (2016) requires that the NYCDOE provide citywide Health Education data, disaggregated by community school district, city council district, and each individual school. Data reported in this report is from the 2017-18 school year.
This report provides information about the number and percent of students scheduled for at least one semester of health education as defined in Local Law 14 as reported through the STARS database. It is important to note that schools self-report their scheduling information in STARS.",33,111,164,Education,,2022-03-16T20:12:28+0000,2024-02-09T14:08:50+0000,2022-03-16T20:24:20+0000,2024-02-09T14:08:50+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/gsyv-em48,https://data.cityofnewyork.us/resource/gsyv-em48
b9jq-x9q5,2017-2018 Discharge Reporting By School - HS,NYC Department of Education,"This report provides data regarding students enrolled in New York City schools during the 2017-2018 school year, according to the guidelines set by Local Law 2011/042. At the citywide, borough and district levels, the DOE is required to report discharge, transfer and graduation counts by grade level (middle school only), cohort (high school only) and disability status. At the school level, the DOE is required to report discharge and transfer counts by grade level (middle school only), cohort (high school only), disability status broken down by, age as of 12/31 of the previous calendar year age, race/ethnicity, and gender.",11855,162,152,Education,,2022-03-16T19:33:54+0000,2024-07-05T13:45:59+0000,2022-03-16T19:39:53+0000,2024-07-05T13:45:59+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/b9jq-x9q5,https://data.cityofnewyork.us/resource/b9jq-x9q5
puvm-vtnz,2017-2018 Discharge Reporting By SWD-HS,NYC Department of Education,"This report provides data regarding students enrolled in New York City schools during the 2017-2018 school year, according to the guidelines set by Local Law 2011/042. At the citywide, borough and district levels, the DOE is required to report discharge, transfer and graduation counts by grade level (middle school only), cohort (high school only) and disability status. At the school level, the DOE is required to report discharge and transfer counts by grade level (middle school only), cohort (high school only), disability status broken down by, age as of 12/31 of the previous calendar year age, race/ethnicity, and gender. The report contains data for districts 1-32, 75 and 79. The analysis includes discharges and transferse from 10/31 (the day when official enrollment is established) to the end of the school year (defined as 7/3 to account for graduation discharges). Annual matriculation discharges, i.e. the ones when students are moving from Grade 8 to high school, are not included in the report.",3768,167,356,,,2022-03-16T18:56:44+0000,2024-02-09T14:07:15+0000,2022-03-16T19:04:39+0000,2024-02-09T14:07:15+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/puvm-vtnz,https://data.cityofnewyork.us/resource/puvm-vtnz
t5h2-b6ki,2017-2018 Discharge Reporting by SWD - MS,NYC Department of Education,"This report provides data regarding students enrolled in New York City schools during the 2017-2018 school year, according to the guidelines set by Local Law 2011/042. At the citywide, borough and district levels, the DOE is required to report discharge, transfer and graduation counts by grade level (middle school only), cohort (high school only) and disability status. At the school level, the DOE is required to report discharge and transfer counts by grade level (middle school only), cohort (high school only), disability status broken down by, age as of 12/31 of the previous calendar year age, race/ethnicity, and gender.  The report contains data for districts 1-32, 75 and 79. The analysis includes discharges and transferse from 10/31 (the day when official enrollment is established) to the end of the school year (defined as 7/3 to account for graduation discharges).   Annual matriculation discharges, i.e. the ones when students are moving from Grade 8 to high school, are not included in the report.",238,107,144,Education,,2022-03-16T17:16:42+0000,2024-02-09T14:08:23+0000,2022-03-16T17:22:23+0000,2024-02-09T14:08:23+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/t5h2-b6ki,https://data.cityofnewyork.us/resource/t5h2-b6ki
